item_id,recommend,year,sentiment_analysis
10,True,2011,2
10,True,2013,1
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,2
10,True,2014,0
10,True,2014,2
10,True,2014,0
10,True,2014,2
10,False,2015,2
10,True,2015,2
10,True,2015,1
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,2
10,True,2015,1
10090,True,2013,2
10090,True,2013,2
10090,True,2013,2
10090,True,2013,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,2
10090,True,2014,0
10090,True,2014,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,2
10090,True,2015,0
10090,True,2015,2
10090,True,2015,2
10090,True,2015,1
10090,True,2015,1
10090,True,2015,2
10090,True,2015,2
10090,True,2015,1
10090,True,2015,0
10090,True,2015,2
10090,True,2015,2
10130,True,2014,2
10130,True,2015,2
10140,True,2011,0
10150,True,2010,2
10150,True,2012,2
10150,True,2013,2
10150,True,2014,2
10150,True,2014,2
10150,True,2014,2
10150,True,2015,0
10180,True,2011,1
10180,True,2011,2
10180,True,2011,2
10180,True,2012,2
10180,True,2012,1
10180,True,2012,2
10180,True,2012,2
10180,True,2012,2
10180,True,2012,0
10180,True,2013,2
10180,True,2013,2
10180,True,2013,0
10180,False,2013,0
10180,True,2013,2
10180,True,2013,2
10180,True,2013,2
10180,True,2013,2
10180,True,2014,2
10180,False,2014,0
10180,True,2014,0
10180,True,2014,2
10180,True,2014,1
10180,True,2014,2
10180,False,2014,0
10180,True,2014,0
10180,False,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,0
10180,True,2014,2
10180,True,2014,2
10180,True,2014,1
10180,True,2014,2
10180,True,2014,2
10180,True,2014,0
10180,True,2014,0
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,2
10180,True,2014,0
10180,True,2014,2
10180,True,2014,0
10180,False,2014,2
10180,True,2015,2
10180,True,2015,2
10180,True,2015,2
10180,False,2015,0
10180,True,2015,2
10180,True,2015,2
10180,True,2015,0
10180,True,2015,2
10180,True,2015,2
10180,True,2015,2
10180,True,2015,1
10180,True,2015,2
10180,True,2015,2
10180,True,2015,2
10180,True,2015,1
10180,True,2015,2
10180,True,2015,2
10180,True,2015,2
10180,True,2015,1
10180,False,2015,0
10180,True,2015,0
10180,True,2015,2
10180,True,2015,0
10180,True,2015,2
10180,True,2015,1
10220,True,2014,2
10220,False,2014,0
10220,False,2014,2
10220,False,2015,0
10220,False,2015,2
102500,True,2013,2
102500,True,2014,2
102500,True,2014,1
102500,True,2014,2
102500,True,2014,2
102500,True,2014,2
102500,False,2014,0
102500,True,2014,2
102500,True,2014,2
102500,True,2014,0
102500,True,2015,2
102500,True,2015,2
102500,True,2015,2
102500,True,2015,2
102500,True,2015,2
102500,True,2015,2
102600,True,2011,1
102600,True,2011,2
102600,True,2012,2
102600,True,2014,2
102600,True,2014,0
102700,False,2013,0
102700,True,2013,0
102700,True,2013,2
102700,False,2014,0
102700,False,2014,1
102700,False,2015,0
102700,False,2015,1
102700,True,2015,2
102820,False,2014,1
102840,True,2013,1
102840,True,2013,2
102840,True,2015,2
102850,True,2012,2
104000,True,2013,2
104200,True,2015,0
104200,True,2015,0
104200,False,2015,0
104200,True,2015,2
104600,True,2013,2
104600,False,2014,2
104600,False,2014,2
104700,True,2012,2
104700,True,2012,2
104700,True,2012,1
104700,True,2012,0
104700,True,2012,2
104700,True,2012,2
104700,True,2013,2
104700,True,2013,1
104700,True,2013,2
104700,True,2013,2
104700,True,2013,1
104700,True,2013,2
104700,True,2013,2
104700,True,2013,2
104700,True,2014,2
104700,False,2014,2
104700,True,2014,1
104700,True,2014,2
104700,True,2014,2
104700,False,2014,1
104700,True,2014,2
104700,True,2014,2
104700,True,2014,1
104700,True,2015,2
104700,False,2015,2
104700,True,2015,2
104700,False,2015,2
104700,False,2015,2
104700,True,2015,2
104700,False,2015,0
104700,True,2015,2
104900,True,2013,2
104900,True,2013,2
104900,True,2014,2
104900,True,2014,2
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,False,2014,0
104900,True,2014,1
104900,True,2014,1
104900,False,2014,0
104900,True,2014,1
104900,True,2014,0
104900,True,2014,2
104900,True,2014,2
104900,False,2014,0
104900,False,2014,0
104900,True,2014,0
104900,True,2014,0
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,True,2014,0
104900,True,2014,0
104900,True,2014,2
104900,True,2014,2
104900,False,2014,2
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,False,2014,2
104900,True,2014,2
104900,True,2014,0
104900,True,2014,1
104900,True,2014,2
104900,True,2014,2
104900,True,2014,1
104900,False,2014,0
104900,True,2014,1
104900,False,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,0
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,False,2014,1
104900,False,2014,0
104900,True,2014,1
104900,True,2014,2
104900,True,2014,0
104900,False,2014,0
104900,True,2014,2
104900,True,2014,1
104900,False,2014,2
104900,True,2014,2
104900,False,2014,1
104900,True,2014,2
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,False,2014,0
104900,True,2014,2
104900,True,2014,2
104900,True,2014,0
104900,True,2014,2
104900,False,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,2
104900,True,2014,0
104900,True,2015,2
104900,True,2015,1
104900,True,2015,2
104900,True,2015,2
104900,True,2015,0
104900,True,2015,2
104900,True,2015,2
104900,True,2015,2
104900,True,2015,0
104900,True,2015,2
104900,True,2015,2
104900,False,2015,0
104900,True,2015,2
104900,True,2015,2
104900,False,2015,1
104900,True,2015,2
104900,True,2015,2
104900,True,2015,2
104900,True,2015,0
104900,True,2015,2
104900,True,2015,2
104900,True,2015,2
104900,True,2015,2
104900,True,2015,0
104900,True,2015,2
104900,True,2015,1
104900,True,2015,1
104900,True,2015,2
104900,True,2015,0
104900,True,2015,0
104900,False,2015,0
104900,True,2015,2
104900,True,2015,2
104900,False,2015,2
104900,False,2015,0
104900,False,2015,0
104900,False,2015,0
104900,True,2015,2
10500,True,2010,0
10500,True,2011,0
10500,True,2011,2
10500,True,2012,2
10500,True,2013,2
10500,True,2013,2
10500,True,2013,2
10500,True,2013,1
10500,True,2013,2
10500,True,2013,2
10500,True,2014,2
10500,True,2014,1
10500,True,2014,1
10500,True,2014,2
10500,True,2014,2
10500,True,2014,1
10500,True,2014,0
10500,True,2014,2
10500,True,2014,2
10500,True,2015,0
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
10500,True,2015,2
105000,False,2014,0
105100,False,2014,2
105300,True,2013,2
105300,True,2014,0
105400,False,2011,1
105400,False,2011,0
105400,True,2011,2
105400,True,2011,2
105400,True,2013,2
105400,False,2013,0
105400,False,2013,0
105420,True,2014,2
105430,True,2012,0
105430,True,2012,2
105430,True,2012,2
105430,True,2012,2
105430,True,2013,2
105450,True,2013,2
105450,False,2013,1
105450,True,2013,2
105450,True,2013,2
105450,True,2013,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2014,2
105450,True,2015,2
105450,True,2015,2
105450,True,2015,2
105450,True,2015,0
105450,True,2015,1
105450,True,2015,2
105450,True,2015,2
105450,True,2015,1
105450,False,2015,2
105450,True,2015,0
105450,True,2015,2
105450,True,2015,0
105450,True,2015,2
105450,True,2015,2
105450,True,2015,2
105450,True,2015,2
105450,True,2015,0
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,0
105600,True,2011,2
105600,True,2011,1
105600,True,2011,0
105600,True,2011,0
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,2
105600,True,2011,1
105600,True,2011,2
105600,True,2012,2
105600,True,2012,2
105600,True,2012,2
105600,True,2012,2
105600,True,2012,2
105600,True,2012,2
105600,True,2012,0
